cluster,ltc,patients,no_depriv,perc_depriv,prevalence,model_prev,model_pts,missing_pts,projected_prev
City & Cardiff South ,COPD,7143.5,3404.5,53.6363275,1.0074195000000001,1.2647026625457154,78.83144209515766,15.830050950157649,1.4164669820512015
City & Cardiff South ,Hypertension,7143.5,3404.5,53.6363275,10.3118315,13.458704642751087,759.2676278756468,177.52963377564677,14.400813967743662
City & Cardiff South ,Stroke,7143.5,3404.5,53.6363275,1.1469205,1.3417829496939087,79.39007469490684,11.529543164906833,1.4491255856694214
City & Cardiff South ,T2DM,7143.5,3404.5,53.6363275,7.921678999999999,10.1541151801184,669.6047428921045,139.00855077842513,12.388020519744448
City & Cardiff South ,af,7143.5,3404.5,53.6363275,0.7839625,0.940755,57.59390562,9.598984269999999,1.1853513
City & Cardiff South ,asthma,7143.5,3404.5,53.6363275,5.1922745,6.2307293999999995,420.272879184,70.04547986399996,6.729187752
City & Cardiff South ,ckd,5251,3247,55.376638,0.69,1.0211999999999999,61.132584,19.826784000000004,1.0211999999999999
City & Cardiff South ,heart failure,7143.5,3404.5,53.6363275,0.5991225,0.9346311,52.13462941440001,18.71499517440001,1.364561406
Eastern Vale ,CHD,11051,9,0.095309,3.181202,4.5698030896006845,505.00893943177164,153.45430641177165,4.9353873367687395
Eastern Vale ,COPD,11051,9,0.095309,1.533742,1.9112716994751564,180.481386581439,35.65012952143903,2.1406243034121752
Eastern Vale ,Hypertension,11051,9,0.095309,15.164934,19.488058146325763,2153.62530575046,477.7484494104601,20.852222216568567
Eastern Vale ,Stroke,11051,9,0.095309,2.105739,2.4558861344554566,271.3999767186725,38.694759828672545,2.6523570252118933
Eastern Vale ,T2DM,11051,9,0.095309,6.326701,7.315951799258972,831.4659611303235,148.70391620032353,8.925461195095945
Eastern Vale ,af,11051,9,0.095309,2.801627,3.3619524,371.52935972399996,61.921559953999974,4.2360600239999995
Eastern Vale ,asthma,11051,9,0.095309,7.11868,8.542416,1010.320037604,168.3866729340001,9.22580928
Eastern Vale ,ckd,11051,9,0.095309,1.2,1.776,196.26576000000003,63.653760000000034,1.776
Eastern Vale ,heart failure,11051,9,0.095309,1.322192,2.06261952,194.77316127360004,69.91857071360003,3.0114244992000003
Western Vale ,CHD,10557,0,0,2.857835,4.191673548193745,499.73517909006415,159.02145959006418,4.5270074320492455
Western Vale ,COPD,10557,0,0,1.183116,1.4743393139108463,192.99101619092977,38.12113179092975,1.651260031580148
Western Vale ,Hypertension,10557,0,0,16.304099,21.398744803970352,2564.288961142868,610.5098273628682,22.896656940248278
Western Vale ,Stroke,10557,0,0,2.639864,3.065332780084311,348.0588002976228,48.31062849762276,3.310559402491056
Western Vale ,T2DM,10557,0,0,6.831466,8.319342713611857,1089.001961211792,194.76306181179189,10.149598110606465
Western Vale ,af,10557,0,0,2.954711,3.5456532,387.159859188,64.52664319799999,4.467523032
Western Vale ,asthma,10557,0,0,6.823907,8.1886884,915.759110592,152.626518432,8.843783472
Western Vale ,ckd,13090,1,0.007639,0.78,1.1544,151.11096,49.00896,1.1544
Western Vale ,heart failure,10557,0,0,1.247275,1.945749,169.89731959200003,60.988781392000035,2.84079354
